CROYDONMAQ INDUSTRIAL LTDA
SALDO DE MAQUINAS EM ESTOQUE EM 11/09/2013   HORA: 11:16:55
S I G L A          ;DESCRICAO                                    ;  SALDO
CCP1-G0194-603     ;CHAPA CHAR BROILER PEDRA 1 BRASIL            ;      5
CCP2-G0195-605     ;CHAPA CHAR BROILER PEDRA 2 BRASIL            ;     13
CCR3-G0192-606     ;CHAPA CHAR BROILER RADIANTE 3 BRASIL         ;      1
CCR4-G0193-606     ;CHAPA CHAR BROILER RADIANTE 4 BRASIL         ;      4
CE03-20665-670     ;CHURRASQUEIRA ELETRICA 2200W 220V - CERTIFICA;     11
CE04-20667-652     ;CHURRASQ. ELETRICA 2800W 220V - CERTIF.      ;      8
CE08-20670-652     ;CHURRASQ. ELETRICA 5600W 220V - CERTIF.      ;      2
CE10-20671-652     ;CHURRASQ. ELETRICA 6000W 220V - CERTIF.      ;      3
CE10-2T674-651     ;CHURRASQ. ELETRICA C/TAMPA 6900W 220V - CERTI;      1
CGR2-G0707-600     ;CHAPA CHURRASQ. TIPO CHAR BROILER 2 BRASIL   ;      2
CGR2-G0707-601     ;CHAPA CHURRASQ. TIPO CHAR BROILER 2 BRASIL   ;      5
CGR3-G0896-601     ;CHAPA CHURRASQ. TIPO CHAR BROILER 3 BRASIL   ;      7
CRPG-20660-651     ;CREPITO GIGANTE 3500W 220V CERT.             ;      4
CRPP-10141-651     ;CREPITO 10 CAVIDADES 1800W 127V CERT.        ;     16
CRPP-20142-651     ;CREPITO 10 CAVIDADES 1800W 220V CERT.        ;     14
ECFG-00992-600     ;EXPOSITOR DESMONTAVEL                        ;      1
ELAB-B6198-650     ;EXTRATOR DE SUCOS CROYDON 1/4CV BIVOLT       ;     58
ELAC-B6223-650     ;EXTRATOR DE SUCOS ACRILICO CROYDON BIVOLT - C;     53
ELEA-B6290-650     ;EXTRATOR 127/220V 60HZ CUPULA ACO - CERTIFICA;    354
ELID-B6124-651     ;EXTRATOR DE SUCOS IDEALI 1/4CV BIVOLT - CERTI;     90
